Disease,Symptom,Medicine,Precaution,Tests,Treatment Duration
Acne,"blackheads, pus filled pimples, scarring, skin rash","AcneStar, Benzoyl Peroxide, Retinoid","Avoid touching face frequently, Cleanse skin gently, Use oil-free skincare products","Skin examination, Blood tests (for hormonal imbalance)",1-3 months
AIDS,"extra marital contacts, muscle wasting, patches in throat","Kaletra, Efavirenz, Zidovudine","Use protection during sex, Regular health check-ups, Avoid contact with blood","HIV test (ELISA, Western Blot), CD4 count, Viral load test",Lifelong
Allergy,"chills, continuous sneezing, shivering, watering from eyes","Cetirizine, Loratadine, Fexofenadine","Avoid allergens, Use air purifiers, Keep windows closed during pollen season","Skin prick test, Blood tests (IgE levels)",Ongoing (seasonal or as needed)
Arthritis,"movement stiffness, muscle weakness, painful walking, stiff neck, swelling joints","Ibuprofen, Naproxen, Diclofenac","Exercise regularly, Maintain healthy weight, Avoid prolonged inactivity","X-ray, MRI, Blood tests (Rheumatoid factor, ESR)",Ongoing (chronic condition)
Asthma,"shortness of breath, wheezing, chest tightness, coughing, chronic coughing, phlegm production, chest discomfort","Salbutamol, Montelukast, Beclometasone","Avoid smoke and dust, Monitor breathing regularly, Keep inhaler nearby","Spirometry, Peak flow measurement, Blood tests (IgE levels)",Ongoing (chronic condition)
Bipolar Disorder,"mood swings, manic episodes, depressive episodes","Lithium, Valproate, Quetiapine","Stay consistent with medication, Avoid alcohol, Get adequate sleep","Psychological evaluation, Blood tests (Thyroid function)",Ongoing (chronic condition)
Breast Cancer,"lump in breast, nipple changes, skin changes, extreme thirst, blurry vision, excessive urination","Tamoxifen, Letrozole, Anastrozole","Regular mammograms, Maintain a healthy lifestyle, Avoid alcohol and smoking","Mammogram, Biopsy, Ultrasound",6-12 months (follow-up treatment may continue)
Bronchial Asthma,"breathlessness, cough, family history, fatigue, high fever, mucoid sputum","Albuterol, Fluticasone, Salmeterol","Avoid exposure to cold air, Limit exposure to smoke, Maintain a clean living environment","Spirometry, Chest X-ray, Peak flow measurement",Ongoing (chronic condition)
Bronchitis,"cough, mucus production, fatigue, chest discomfort, unexplained bruising, bone fractures, joint pain","Amoxicillin, Doxycycline, Azithromycin","Stay hydrated, Avoid irritants like smoke, Take rest","Chest X-ray, Sputum culture, Pulmonary function tests",2-4 weeks
Cervical spondylosis,"back pain, dizziness, loss of balance, neck pain, weakness in limbs","Ibuprofen, Diclofenac, Naproxen","Avoid heavy lifting, Practice proper posture, Do neck exercises","X-ray, MRI, CT scan",Ongoing (long-term management)
Chicken pox,"fatigue, headache, high fever, lethargy, loss of appetite, malaise, mild fever, red spots over body, skin rash, swelled lymph nodes, itching","Acyclovir, Paracetamol, Calamine Lotion","Avoid scratching, Keep skin clean, Isolate from others to prevent spread","Physical examination, PCR test",1-2 weeks
Chickenpox,"itchy rash, fever, fatigue, blisters, persistent cough, wheezing, chest tightness","Acyclovir, Paracetamol, Ibuprofen","Rest at home, Keep rash clean and dry, Avoid close contact with others","Physical examination, PCR test",1-2 weeks
Cholera,"severe diarrhea, dehydration, abdominal cramps, vomiting, rapid heart rate, sunken eyes","Oral Rehydration Solution, Ciprofloxacin, Tetracycline","Drink clean water, Wash hands regularly, Avoid contaminated food","Stool culture, Blood tests (electrolyte imbalance)",1-2 weeks
Chronic cholestasis,"abdominal pain, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin, itching","Ursodeoxycholic Acid, Cholestyramine, Prednisolone","Avoid fatty foods, Maintain a low-fat diet, Regular liver function tests","Liver function tests, Ultrasound, MRI",2-4 weeks
Chronic Obstructive Pulmonary Disease (COPD),"chronic cough, shortness of breath, wheezing, abdominal bloating, diarrhea, foul-smelling stool","Salbutamol, Tiotropium, Fluticasone","Quit smoking, Avoid respiratory irritants, Stay physically active","Spirometry, Chest X-ray, CT scan",Ongoing (chronic condition)
Colorectal Cancer,"blood in stool, weight loss, abdominal pain","Fluorouracil, Leucovorin, Oxaliplatin","Get regular screenings, Maintain a healthy diet, Exercise regularly","Colonoscopy, Biopsy, CT scan",6-12 months (follow-up treatment may continue)
Common Cold,"chest pain, chills, congestion, continuous sneezing, cough, fatigue, headache, high fever, loss of smell, malaise, muscle pain, phlegm, redness of eyes, runny nose, sinus pressure, swelled lymph nodes, throat irritation,cold","Paracetamol, Ibuprofen, Pseudoephedrine","Wash hands frequently, Rest and hydrate, Avoid contact with others","Physical examination, Nasal swab (for viral testing)",1-2 weeks
COVID-19,"fever, cough, shortness of breath, loss of taste/smell, fatigue","Paracetamol, Ivermectin, Remdesivir","Wear a mask, Maintain social distancing, Wash hands regularly","PCR test, Chest X-ray, Blood tests (for inflammation markers)",2-6 weeks
Crohn's Disease,"diarrhea, abdominal pain, weight loss, fatigue, unusual bleeding, dark spots, fever","Mesalamine, Prednisone, Azathioprine","Avoid trigger foods, Stay hydrated, Manage stress","Endoscopy, Colonoscopy, Blood tests (for inflammation)",Ongoing (chronic condition)
Cushing's Syndrome,"weight gain, moon face, fatigue, high blood pressure, abdominal discomfort, bloating, gas, diarrhea","Ketoconazole, Metyrapone, Mitotane","Reduce salt intake, Regular exercise, Monitor blood pressure","Blood tests (ACTH levels, cortisol levels), CT scan, MRI","Variable (depends on the cause, from months to lifelong)"
Dengue,"back pain, chills, fatigue, headache, high fever, joint pain, loss of appetite, malaise, muscle pain, nausea, pain behind the eyes, red spots over body, skin rash, vomiting","Paracetamol, Ibuprofen, Diphenhydramine","Stay hydrated, Avoid mosquito bites, Rest","Dengue NS1 antigen test, Platelet count, CBC (Complete blood count)",2-3 weeks
Dengue Fever,"high fever, severe headache, joint/muscle pain, skin rash, bleeding, rash, bleeding gums, low platelet count","Paracetamol, Orals Rehydration Solution, Diphenhydramine","Rest and hydrate, Avoid mosquito exposure, Monitor platelet count","Dengue NS1 antigen test, Platelet count, CBC",2-3 weeks
Depression,"persistent sadness, loss of interest, fatigue, insomnia","Fluoxetine, Sertraline, Citalopram","Get enough rest, Stay active, Seek professional support","Psychological evaluation, Blood tests (Thyroid function)",6-12 months
Diabetes,"blurred and distorted vision, excessive hunger, fatigue, increased appetite, irregular sugar level, lethargy, obesity, polyuria, restlessness, weight loss","Metformin, Insulin, Glimepiride","Maintain a balanced diet, Exercise regularly, Monitor blood sugar","Fasting blood glucose, HbA1c, Oral glucose tolerance test",Lifelong
Dimorphic hemorrhoids(piles),"bloody stool, constipation, irritation in anus, pain during bowel movements, pain in anal region","Hydrocortisone, Witch Hazel, Diosmin","Eat fiber-rich foods, Stay hydrated, Avoid straining during bowel movements","Physical examination, Anoscopy, Colonoscopy",2-4 weeks
Drug Reaction,"burning micturition, skin rash, spotting urination, stomach pain, itching","Diphenhydramine, Cetirizine, Hydrocortisone","Identify and avoid triggering drugs, Seek medical help promptly, Stay hydrated","Blood tests (liver function, kidney function), Skin biopsy","Variable (depends on severity, from days to months)"
Eczema,"itchy, red, inflamed skin, dryness, severe body aches, joint stiffness, redness of eyes","Hydrocortisone, Triamcinolone, Tacrolimus","Avoid irritants, Keep skin moisturized, Take lukewarm showers","Skin examination, Patch test, Blood tests (IgE levels)",Ongoing (flare-ups managed with treatment)
Esophageal Cancer,"difficulty swallowing, chest pain, hoarseness","Paclitaxel, Cisplatin, Fluorouracil","Avoid acidic foods, Eat smaller meals, Quit smoking","Endoscopy, Biopsy, CT scan",6-12 months (with potential for lifelong monitoring)
